id,vehicle_no,odometer,latitude,longitude,speed,distance,car_battery_voltage,dev_battery_voltage,create_date_time,beacon_date_time,source_id,distance_to_target
98147170,MH14LL2853,2987.4712,18.476731333333333,73.86224783333333,30.05,42.065136,51.4294,3.9993,2025-01-01 16:06:15.000,2025-01-01 16:05:58.868,1,8587.95344136576
98147548,MH14LL2853,2987.668,18.478405833333333,73.86164566666666,0.46,42.26205,51.6463,4.0016,2025-01-01 16:07:15.000,2025-01-01 16:06:58.868,1,8508.283377778132
98147894,MH14LL2853,2987.8918,18.480356333333333,73.8612725,24.22,42.485996,51.1643,3.9993,2025-01-01 16:08:16.000,2025-01-01 16:07:58.869,1,8394.108259003599
98148268,MH14LL2853,2988.1536,18.48215083333333,73.8623845,20.33,42.747414,50.9956,4.0005,2025-01-01 16:09:15.000,2025-01-01 16:08:58.868,1,8175.412774686313
98148620,MH14LL2853,2988.447,18.483873166666665,73.86401716666667,24.56,43.041016,51.2607,3.9993,2025-01-01 16:10:15.000,2025-01-01 16:09:58.868,1,7920.526287304844
98148971,MH14LL2853,2988.7432,18.485106833333333,73.86581966666667,13.68,43.33751,51.4053,3.9993,2025-01-01 16:11:16.000,2025-01-01 16:10:58.868,1,7687.048474734977
98148985,MH14LL2840,2347.0818,18.53143366666667,73.928636,0.69,0.22603603,48.7302,3.9946,2025-01-01 16:11:16.000,2025-01-01 16:10:46.943,1,795.549717996075
98149333,MH14LL2853,2988.9153,18.485943,73.866963,18.88,43.509556,51.3812,4.0005,2025-01-01 16:12:16.000,2025-01-01 16:11:58.868,1,7535.119944236929
98149685,MH14LL2853,2989.2073,18.486531,73.86966183333334,23.49,43.80162,51.2607,4.0005,2025-01-01 16:13:16.000,2025-01-01 16:12:58.868,1,7277.406952391877
98150055,MH14LL2853,2989.4612,18.488188166666667,73.87034616666666,19.5,44.05558,50.7305,4.0005,2025-01-01 16:14:16.000,2025-01-01 16:13:58.869,1,7102.174690114191
98150071,MH14LX0059,4062.461,18.481955,73.94190933333333,0.24,0.41806263,51.9114,3.6478,2025-01-01 16:14:16.000,2025-01-01 16:14:10.892,1,5765.329731546565
98150388,MH14LX0065,3791.0225,18.531288166666663,73.928725,0.25,1.3617333,50.4172,3.6525,2025-01-01 16:15:16.000,2025-01-01 16:15:04.156,1,802.1299572357337
